time/s,<Ewe>/V,I/mA
145.8013963,1.324826002,47.78947449
145.9013963,1.324830651,47.53485107
146.0013963,1.324861765,47.78947449
146.1013963,1.324889183,47.50302505
146.2013963,1.324895859,47.40753937
146.3013963,1.324913144,47.72581482
146.4013963,1.324932337,47.69399261
146.5013963,1.324934959,47.18474197
146.6013963,1.324966669,47.75764847
146.7013963,1.325042367,47.75764847
146.8013963,1.325099468,47.47119522
146.9013963,1.3251127,47.63032913
147.0013963,1.325105786,47.40753937
147.1013963,1.325079203,47.85313034
147.2013963,1.325049043,47.66216278
147.3013963,1.32502377,47.63032913
147.4013963,1.324984908,47.78947449
147.5013963,1.324972034,47.78947449
147.6013963,1.324982643,47.69399261
147.7013963,1.324997067,47.53485107
147.8013963,1.324992895,47.15291595
147.9013963,1.324976563,47.98044205
148.0013963,1.324937463,47.98044205
148.1013963,1.324947715,47.59850693
148.2013963,1.324990273,47.56668091
148.3013963,1.325021505,47.69399261
148.4013963,1.32503581,47.75764847
148.5013962,1.325046182,47.9486084
148.6013962,1.32502234,47.63032913
148.7013962,1.324975491,47.34388351
148.8013962,1.3249439,47.82129669
148.9013962,1.324965954,47.91678238
149.0013962,1.324961424,47.56668091
149.1013962,1.324952364,47.53485107
149.2013962,1.324952126,47.53485107
149.3013962,1.324964166,47.63032913
149.4013962,1.324961185,47.40753937
149.5013962,1.324968576,47.56668091
149.6013962,1.324969172,47.78947449
149.7013962,1.324963093,48.17140961
149.8013962,1.324972987,47.85313034
149.9013962,1.324980021,47.59850693
150.0013962,1.325006247,47.78947449
150.1013962,1.325042486,47.66216278
150.2013962,1.325079918,47.72581482
150.3013962,1.325124621,47.28022766
150.4013962,1.325139046,47.78947449
150.5013962,1.325129747,47.66216278
150.6013962,1.325119495,47.56668091
150.7013962,1.325127363,47.47119522
150.8013962,1.325127006,47.59850693
150.9013962,1.325131416,47.50302505
151.0013962,1.325141191,47.59850693
151.1013962,1.325120091,47.78947449
151.2013962,1.325113416,47.78947449
151.3013962,1.3250947,47.66216278
151.4013962,1.325081468,47.47119522
151.5013962,1.325122952,47.78947449
151.6013962,1.325182199,47.66216278
151.7013962,1.32519269,47.21657181
151.8013962,1.325210333,47.3120575
151.9013962,1.325227976,47.69399261
152.0013962,1.32524538,47.37571335
152.1013962,1.32527864,47.66216278
152.2013962,1.325304985,47.82129669
152.3013962,1.325332046,47.78947449
152.4013962,1.325336099,47.56668091
152.5013961,1.325349927,47.72581482
152.6013961,1.325331569,47.75764847
152.7013961,1.325286746,47.34388351
152.8013961,1.325217366,47.75764847
152.9013961,1.325153112,47.37571335
153.0013961,1.325106978,47.75764847
153.1013961,1.325066447,47.9486084
153.2013961,1.325037718,47.53485107
153.3013961,1.32501936,47.72581482
153.4013961,1.325059295,47.75764847
153.5013961,1.325075269,47.75764847
153.6013961,1.325066805,47.85313034
153.7013961,1.325074911,47.63032913
153.8013961,1.325071692,47.56668091
153.9013961,1.325058699,47.63032913
154.0013961,1.325062752,48.07592773
154.1013961,1.325103641,47.4393692
154.2013961,1.325131178,47.9486084
154.3013961,1.325146437,47.56668091
154.4013961,1.325191617,47.56668091
154.5013961,1.325205922,47.53485107
154.6013961,1.325202346,47.75764847
154.7013961,1.325213313,47.47119522
154.8013961,1.325221539,47.75764847
154.9013961,1.325191855,47.78947449
155.0013961,1.325176358,48.04409409
155.1013961,1.325169444,47.66216278
155.2013961,1.325192213,47.72581482
155.3013961,1.32520628,48.10774994
155.4013961,1.325205922,47.4393692
155.5013961,1.325196981,47.56668091
155.6013961,1.32519412,47.91678238
155.7013961,1.325194597,47.66216278
155.8013961,1.325208783,47.9486084
155.9013961,1.325288773,47.82129669
156.0013961,1.325369,47.34388351
156.1013961,1.325358033,47.59850693
156.2013961,1.325330973,47.47119522
156.3013961,1.325302362,47.66216278
156.401396,1.325280428,47.88496017
